,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
1037,PM4020730,PAR01690114,Building,2016,In Compliance,3400 BENNING RD NE,POTOMAC ELECTRIC POWER COMPANY,7,WASHINGTON,DC,20019,1987,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,419689,53503.0,100,0.8,0.8,2.7,2.7,5.2,0.1,17.5,13271.0,,38.89698594,-76.95213935,
1038,PM3679816,0449_0059,McCollough Paradise Gardens Apartments,2016,In Compliance,1107 7TH ST NW,BISHOP S C MADISON TRUSTEE,6,WASHINGTON,DC,20001,1984,Multifamily Housing,Multifamily Housing,232208,235784.0,100,3.9,3.9,9.1,9.2,83.6,0.4,10789.9,166750.0,3453.516123,38.90548482,-77.02065954,
1039,PM4060691,3058_0835,Cook Hall,2016,In Compliance,0511 FAIRMONT ST NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20059,1938,Residence Hall-Dormitory,Residence Hall-Dormitory,83444,83444.0,100,14.7,15.2,15.5,16.0,65.3,0.8,17017.2,178.5,12285.25738,38.92540864,-77.02170854,
1040,PM3999186,3379_0820,6031 Kansas Ave NW - Kansas Ave DG,2016,Data Under Review by DOEE,6031 KANSAS AVE NW,KANSAS AVENUE DEVELOPMENT GROUP LLC,4,WASHINGTON,DC,20011,1900,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,71562,71562.0,97,11.4,12.0,16.8,17.4,53.5,0.7,169.4,48151.9,6531.51586,38.963088,-77.00921154,
1041,PM4178732,0594_0069,Greenleaf Extension,2016,Data Under Review by DOEE,1124 3RD ST SW,DISTRICT OF COLUMBIA HOUSING AUTHORITY ,6,WASHINGTON,DC,20024,1965,Multifamily Housing,Multifamily Housing,,35992.0,100,12.1,12.4,19.9,20.0,30.3,0.8,757.0,36563.0,3097.000072,38.87675727,-77.01494602,
1042,PM5007395,4108_0078,4108-0078,2016,Data Under Review by DOEE,2115 BRYANT ST NE,INNOVATIVE RECYCLERS DC INC,5,WASHINGTON,DC,20018,1997,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,50418,50418.0,95,7.3,7.4,22.9,23.2,42.2,0.8,357.3,107754.5,,38.9209557,-76.97451402,
1043,PM5047441,0914_0054,Capital East Apartment (518),2016,In Compliance,518 9TH ST NE,CAPITAL EAST PARTNERS LLC,6,WASHINGTON,DC,20002,1927,Multifamily Housing,Multifamily Housing,54781,54781.0,100,12.0,11.6,32.9,31.8,67.7,1.2,2134.9,156054.0,1244.800029,38.89671308,-76.99399083,
1044,PM3663625,0205_0058,"0776-Washington - U Street, NW",2016,In Compliance,1420 U ST NW,STORAGE PORTFOLIO LLC,2,WASHINGTON,DC,20009,1910,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,189805,101989.0,44,11.4,11.4,35.9,35.9,133.6,1.3,193.0,341392.0,,38.91662939,-77.0329301,
1045,PM2929580,0619_0176,Tyler House Associates 95 LP,2016,In Compliance,1200 NORTH CAPITOL ST NW,TYLER HOUSE ASSOCIATES 95 L.P.,6,WASHINGTON,DC,20002,1969,Multifamily Housing,Multifamily Housing,325984,325984.0,100,11.7,11.7,36.8,36.8,438.4,1.3,20508.9,1120412.8,,38.90640315,-77.00943607,
1046,PM5047406,0914_0055,Capital East Apartment,2016,In Compliance,816 E ST NE,CAPITAL EAST PARTNERS LLC,6,WASHINGTON,DC,20002,1927,Multifamily Housing,Multifamily Housing,55178,55178.0,100,13.3,12.9,36.8,35.3,76.1,1.4,2693.0,176248.0,1349.999985,38.8964305,-76.99412723,
